,ind_code,discription
1349,BM.TRF.PWKR.CD.DT,"Personal remittances, paid (current US$)"
1350,BM.GSR.TRVL.ZS,"Travel services (% of service imports, BoP)"
1351,BM.GSR.NFSV.CD,"Service imports (BoP, current US$)"
1352,BM.GSR.FCTY.CD,"Primary income payments (BoP, current US$)"
1353,AG.SRF.TOTL.K2,Surface area (sq. km)
1354,AG.PRD.CREL.MT,Cereal production (metric tons)
1355,AG.LND.PRCP.MM,Average precipitation in depth (mm per year)
1356,AG.LND.EL5M.ZS,Land area where elevation is below 5 meters (% of total land area)
1357,AG.LND.EL5M.RU.K2,Rural land area where elevation is below 5 meters (sq. km)
1358,AG.LND.ARBL.HA.PC,Arable land (hectares per person)
1359,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land)
1360,SH.STA.WAST.MA.ZS,"Prevalence of wasting, weight for height, male (% of children under 5)"
1361,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)"
1362,SH.STA.STNT.ME.ZS,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)"
1363,SH.STA.SMSS.UR.ZS,"People using safely managed sanitation services, urban (% of urban population)"
1364,SH.STA.POIS.P5,"Mortality rate attributed to unintentional poisoning (per 100,000 population)"
1365,SH.STA.OWGH.FE.ZS,"Prevalence of overweight, weight for height, female (% of children under 5)"
1366,SH.STA.ODFC.UR.ZS,"People practicing open defecation, urban (% of urban population)"
1367,SH.STA.MALN.ZS,"Prevalence of underweight, weight for age (% of children under 5)"
1368,SH.STA.HYGN.UR.ZS,"People with basic handwashing facilities including soap and water, urban (% of urban population)"
1369,SH.STA.BRTW.ZS,Low-birthweight babies (% of births)
1370,SH.STA.BASS.UR.ZS,"People using at least basic sanitation services, urban (% of urban population)"
1371,SH.STA.AIRP.P5,"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)"
1372,SH.SGR.IRSK.ZS,Risk of impoverishing expenditure for surgical care (% of people at risk)
1373,SH.PRV.SMOK,Prevalence of current tobacco use (% of adults)
1374,SH.MMR.DTHS,Number of maternal deaths
1375,SH.MED.SAOP.P5,"Specialist surgical workforce (per 100,000 population)"
1376,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)"
1377,SH.HIV.PMTC.ZS,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV)
1378,SH.HIV.INCD.TL.P3,"Incidence of HIV, all (per 1,000 uninfected population)"
1379,SH.HIV.ARTC.ZS,Antiretroviral therapy coverage (% of people living with HIV)
1380,SH.H2O.SMDW.ZS,People using safely managed drinking water services (% of population)
1381,SH.H2O.BASW.UR.ZS,"People using at least basic drinking water services, urban (% of urban population)"
1382,SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)"
1383,SH.DYN.MORT.FE,"Mortality rate, under-5, female (per 1,000 live births)"
1384,SH.DYN.2024,"Probability of dying among youth ages 20-24 years (per 1,000)"
1385,SH.DTH.NMRT,Number of neonatal deaths
1386,SH.DTH.IMRT,Number of infant deaths
1387,SH.DTH.1014,Number of deaths ages 10-14 years
1388,SH.ANM.NPRG.ZS,Prevalence of anemia among non-pregnant women (% of women ages 15-49)
1389,SH.ALC.PCAP.LI,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)"
1390,SG.VAW.NEGL.ZS,Women who believe a husband is justified in beating his wife when she neglects the children (%)
1391,SG.VAW.1549.ZS,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)
1392,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%)
1393,SE.XPD.TOTL.GB.ZS,"Government expenditure on education, total (% of government expenditure)"
1394,SE.XPD.SECO.PC.ZS,"Government expenditure per student, secondary (% of GDP per capita)"
1395,SE.XPD.CTER.ZS,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)"
1396,SE.TER.ENRR.MA,"School enrollment, tertiary, male (% gross)"
1397,SE.TER.CUAT.ST.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)"
1398,SE.TER.CUAT.MS.MA.ZS,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)"
1399,SE.TER.CUAT.DO.FE.ZS,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)"
1400,SE.SEC.UNER.LO.ZS,Adolescents out of school (% of lower secondary school age)
1401,SE.SEC.TCHR.FE,"Secondary education, teachers, female"
1402,SE.SEC.TCAQ.UP.MA.ZS,"Trained teachers in upper secondary education, male (% of male teachers)"
1403,SE.SEC.TCAQ.LO.MA.ZS,"Trained teachers in lower secondary education, male (% of male teachers)"
1404,SE.SEC.PROG.MA.ZS,"Progression to secondary school, male (%)"
1405,SE.SEC.NENR.FE,"School enrollment, secondary, female (% net)"
1406,SE.SEC.ENRR,"School enrollment, secondary (% gross)"
1407,SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary"
1408,SE.SEC.ENRL.FE.ZS,"Secondary education, pupils (% female)"
1409,SE.SEC.CUAT.UP.MA.ZS,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)"
1410,SE.SEC.CUAT.PO.FE.ZS,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)"
1411,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)"
1412,SE.PRM.UNER.ZS,Children out of school (% of primary school age)
1413,SE.PRM.UNER.FE,"Children out of school, primary, female"
1414,SE.PRM.TENR,"Adjusted net enrollment rate, primary (% of primary school age children)"
1415,SE.PRM.TCAQ.MA.ZS,"Trained teachers in primary education, male (% of male teachers)"
1416,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)"
1417,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)"
1418,SE.PRM.OENR.ZS,"Over-age students, primary (% of enrollment)"
1419,SE.PRM.NINT.MA.ZS,"Net intake rate in grade 1, male (% of official school-age population)"
1420,SE.PRM.NENR,"School enrollment, primary (% net)"
1421,SE.PRM.ENRR.MA,"School enrollment, primary, male (% gross)"
1422,SE.PRM.ENRL.FE.ZS,"Primary education, pupils (% female)"
1423,SE.PRM.CUAT.MA.ZS,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)"
1424,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)"
1425,SE.PRE.TCAQ.FE.ZS,"Trained teachers in preprimary education, female (% of female teachers)"
1426,SE.PRE.ENRL.TC.ZS,"Pupil-teacher ratio, preprimary"
1427,SE.LPV.PRIM.SD,Primary school age children out-of-school (%)
1428,SE.LPV.PRIM.LD,Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold
1429,NV.AGR.TOTL.KN,"Agriculture, forestry, and fishing, value added (constant LCU)"
1430,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)"
1431,NE.RSB.GNFS.KN,External balance on goods and services (constant LCU)
1432,NE.IMP.GNFS.KN,Imports of goods and services (constant LCU)
1433,NE.IMP.GNFS.CD,Imports of goods and services (current US$)
1434,NE.GDI.TOTL.KD,Gross capital formation (constant 2015 US$)
1435,NE.GDI.STKB.CN,Changes in inventories (current LCU)
1436,NE.GDI.FTOT.KD.ZG,Gross fixed capital formation (annual % growth)
1437,NE.GDI.FPRV.ZS,"Gross fixed capital formation, private sector (% of GDP)"
1438,NE.EXP.GNFS.KD.ZG,Exports of goods and services (annual % growth)
1439,NE.DAB.TOTL.ZS,Gross national expenditure (% of GDP)
1440,NE.DAB.TOTL.CD,Gross national expenditure (current US$)
1441,NE.CON.TOTL.KD.ZG,Final consumption expenditure (annual % growth)
1442,NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure (% of GDP)
1443,NE.CON.PRVT.PC.KD,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
1444,NE.CON.PRVT.CN.AD,Households and NPISHs final consumption expenditure: linked series (current LCU)
1445,NE.CON.GOVT.KN,General government final consumption expenditure (constant LCU)
1446,NE.CON.GOVT.CD,General government final consumption expenditure (current US$)
1447,MS.MIL.XPND.CN,Military expenditure (current LCU)
1448,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values)
1449,LP.LPI.LOGS.XQ,Logistics performance index: Competence and quality of logistics services (1=low to 5=high)
1450,LP.IMP.DURS.MD,"Lead time to import, median case (days)"
1451,IT.NET.USER.FE.ZS,"Individuals using the Internet, female (% of female population)"
1452,IT.NET.BBND,Fixed broadband subscriptions
1453,IT.CEL.SETS,Mobile cellular subscriptions
1454,IS.RRS.PASG.KM,"Railways, passengers carried (million passenger-km)"
1455,IS.AIR.DPRT,"Air transport, registered carrier departures worldwide"
1456,IQ.SPI.PIL2,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100)
1457,IQ.CPA.TRAD.XQ,CPIA trade rating (1=low to 6=high)
1458,IQ.CPA.PUBS.XQ,CPIA public sector management and institutions cluster average (1=low to 6=high)
1459,IQ.CPA.PADM.XQ,CPIA quality of public administration rating (1=low to 6=high)
1460,IQ.CPA.GNDR.XQ,CPIA gender equality rating (1=low to 6=high)
1461,IQ.CPA.ENVR.XQ,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)
1462,IP.TMK.RSCT,"Trademark applications, resident, by count"
1463,IP.JRN.ARTC.SC,Scientific and technical journal articles
1464,IE.PPN.TRAN.CD,Public private partnerships investment in transport (current US$)
1465,IE.PPI.TRAN.CD,Investment in transport with private participation (current US$)
1466,IC.WRH.DURS,Time required to build a warehouse (days)
1467,IC.TAX.OTHR.CP.ZS,Other taxes payable by businesses (% of commercial profits)
1468,IC.TAX.DURS,Time to prepare and pay taxes (hours)
1469,IC.REG.DURS.MA,"Time required to start a business, male (days)"
1470,IC.REG.COST.PC.MA.ZS,"Cost of business start-up procedures, male (% of GNI per capita)"
1471,IC.LGL.DURS,Time required to enforce a contract (days)
1472,IC.IMP.TMBC,"Time to import, border compliance (hours)"
1473,IC.FRM.TRNG.ZS,Firms offering formal training (% of firms)
1474,IC.FRM.METG.ZS,Firms visited or required meetings with tax officials (% of firms)
1475,IC.FRM.FEMM.ZS,Firms with female top manager (% of firms)
1476,IC.FRM.CMPU.ZS,Firms competing against unregistered firms (% of firms)
1477,DT.NFL.UNCF.CD,"Net official flows from UN agencies, UNICEF (current US$)"
1478,DT.NFL.SDGF.CD,"Net official flows from UN agencies, SDGFUND (current US$)"
1479,DT.NFL.PROP.CD,"PPG, other private creditors (NFL, current US$)"
1480,DT.NFL.PCBK.CD,"PPG, commercial banks (NFL, current US$)"
1481,DT.NFL.MOTH.CD,"Net financial flows, others (NFL, current US$)"
1482,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)"
1483,DT.NFL.IAEA.CD,"Net official flows from UN agencies, IAEA (current US$)"
1484,DT.NFL.BOND.CD,"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)"
1485,DT.DOD.PVLX.CD,Present value of external debt (current US$)
1486,DT.DOD.DSTC.ZS,Short-term debt (% of total external debt)
1487,DT.DOD.DPPG.CD,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)"
1488,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI)
1489,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)"
1490,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)"
1491,DC.DAC.PRTL.CD,"Net bilateral aid flows from DAC donors, Portugal (current US$)"
1492,DC.DAC.NLDL.CD,"Net bilateral aid flows from DAC donors, Netherlands (current US$)"
1493,DC.DAC.JPNL.CD,"Net bilateral aid flows from DAC donors, Japan (current US$)"
1494,DC.DAC.HUNL.CD,"Net bilateral aid flows from DAC donors, Hungary (current US$)"
1495,DC.DAC.FINL.CD,"Net bilateral aid flows from DAC donors, Finland (current US$)"
